Title,YearPublished,NumPages,Genres,Rating,Author,UnitsSold,Revenue
Whispers in the Mist ,1924,426,Mystery ,9.3,Olivia Hudson,1212,30978.72
Starlight Chronicles ,1941,525,Fantasy ,9.2,Ethan Lawson,844,26586
Beneath the Surface ,1967,456,Thriller ,9,Ava Mitchell,1204,32941.44
Pillars of Creation,1989,606,Science Fiction ,9,Ethan Lawson,573,20834.28
The Farthest Harbour,1929,462,Adventure,8.9,Liam Parker,930,25779.6
Chronicles of the Forgotten Realm,1905,585,Epic Fantasy ,9,Sophia Reynolds,610,21411
Midnight Secrets ,1969,603,Suspense ,9,Noah Foster,830,30029.4
Quantum Paradox ,1916,288,Sci-Fi Thriller ,9,Isabella Simmons,360,6220.8
A Touch of Magic ,1974,483,Urban Fantasy ,8.8,Aiden Cooper,342,9911.16
Dark Whispers ,1930,426,Horror ,8.8,Mia Campbell,943,24103.08
Hidden in Plain Sight ,1907,444,Mystery ,8.8,Ava Mitchell,1068,28451.52
Legacy of Stars ,2005,534,Space Opera ,8.8,Noah Foster,843,27009.72
Love in Autumn ,1957,417,Contemporary Romance ,8.8,Lucas Bennett,966,24169.32
City of Ciphers ,1909,483,Cyberpunk ,8.3,Amelia Morgan,174,5042.52
The Haunting Melody ,1970,372,Supernatural Horror ,8.7,Jackson Turner,581,12967.92
Voyage Through Time ,1922,363,Historical Fiction ,8.6,Harper Ramirez,612,13329.36
Savage Lands ,1969,408,Adventure ,8.7,Oliver Gray,862,21101.76
Spark of Infinity ,1942,435,Sci-Fi Fantasy ,8.7,Emma Hayes,526,13728.6
Threads of Destiny ,1931,399,Historical Romance ,8.7,Carter Dixon,452,10820.88
Frozen Echoes ,1974,390,Arctic Exploration ,8.6,Abigail Collins,338,7909.2
Kingdom's Rise ,1918,537,Epic Fantasy ,8.8,Noah Foster,749,24132.78
Eternal Twilight ,1989,621,Paranormal Romance ,8.6,Elijah Price,155,5775.3
Dark Horizon ,1944,507,Apocalyptic ,8.7,Ava Mitchell,858,26100.36
Enigma's End ,1932,318,Mystery ,8.4,Charlotte Reed,129,2461.32
Odyssey of the Stars ,2007,354,Space Exploration ,8.6,William Peterson,646,13721.04
Cursed Bloodlines ,1909,330,Urban Fantasy ,8.5,Evelyn Murphy,524,10375.2
Whispers from the Past ,2007,381,Historical Mystery ,8.6,Lucas Bennett,750,17145
Dystopian Dreams ,1996,507,Dystopian Fiction ,8.6,Sophia Reynolds,628,19103.76
Realm of Enchantment ,1999,318,Fantasy ,8.5,Logan Brooks,485,9253.8
Midnight Carnival ,2010,375,Supernatural Thriller ,8.6,Sofia Nelson,350,7875
Songs of the Sea ,1908,348,Nautical Adventure ,8.6,Benjamin Foster,313,6535.44
Eternal Bonds ,1907,336,Paranormal Romance ,8.5,Scarlett Wright,388,7822.08
Neon Noir ,1917,495,Cyberpunk Mystery ,8.5,Aiden Cooper,148,4395.6
Lost Worlds ,1951,390,Archaeological Adventure ,8.6,Henry Rogers,207,4843.8
Starlit Promises ,1948,261,Sci-Fi Romance ,8.5,Grace Powell,83,1299.78
Secrets of the Alchemists ,1993,336,Historical Mystery ,8.2,Alexander Brooks,132,2661.12
Shadows of Tomorrow ,1929,351,Sci-Fi Thriller ,8.5,Avery Martinez,398,8381.88
Chronicles of the Celestial War ,2013,390,High Fantasy ,8.5,Ava Mitchell,604,14133.6
Whispers of the Woods ,1934,465,Folklore Fantasy ,8.5,Avery Martinez,676,18860.4
Wicked Games ,1967,492,Psychological Thriller ,8.4,Ava Mitchell,769,22700.88
Sands of Time ,1912,318,Time Travel Adventure ,8.5,Jameson Mitchell,402,7670.16
Whispers of the Forgotten ,1929,339,Gothic Horror ,8.4,Ava Mitchell,557,11329.38
Sins of the Past ,1953,567,Historical Fiction ,8.6,Olivia Hudson,589,20037.78
The Quantum Enigma ,2014,441,Science Fiction ,8.4,Ethan Lawson,299,7911.54
Eternal Vows ,1996,327,Urban Fantasy Romance ,8.5,Madison Ward,302,5925.24
Beyond the Void ,1929,345,Space Opera ,8.4,Sophia Reynolds,439,9087.3
Shadows of the Moon ,1920,411,Supernatural Mystery ,8.6,Samuel Rivera,494,12182.04
Rogue Skies ,1996,450,Steampunk Adventure ,8.5,Victoria Ross,379,10233
Fading Echoes ,1914,411,Contemporary Drama ,8.4,Daniel Allen,174,4290.84
Legends of the Lost Realm ,2001,285,Epic Fantasy ,8.4,Lily Cooper,219,3744.9
Whispers of the Abyss ,1903,357,Lovecraftian Horror ,8.5,Michael Torres,502,10752.84
Silent Symphony ,2003,348,Historical Romance ,8.5,Mia Campbell,547,11421.36
Empire of Rust ,1993,534,Historical Fiction ,8.2,Emma Hayes,236,7561.44
Astral Dreams ,1972,396,Space Exploration ,8.2,Penelope Stewart,395,9385.2
Whispers in the Wind ,1939,372,Romance ,8.2,David Jenkins,109,2432.88
Darkened Realms ,1918,300,Dark Fantasy ,8.2,Ava Coleman,469,8442
City of Secrets ,1940,348,Urban Fantasy Mystery ,8.1,Joseph Foster,346,7224.48
Chasing Eternity ,1979,456,Time Travel Romance ,7.6,Chloe Bennett,357,9767.52
Echoes of War ,2007,354,Military Science Fiction ,7.5,Sophia Reynolds,226,4800.24
Whispers of Betrayal ,1972,381,Historical Mystery ,8.2,Sophia Reynolds,448,10241.28
Dreams of Tomorrow ,1943,333,Sci-Fi Fantasy ,8.2,Liam Parker,502,10029.96
Mysteries of the Orient ,1933,411,Historical Adventure ,8.1,Christopher Bell,348,8581.68
Stars and Steam ,1951,276,Steampunk Romance ,8.1,Emily Richardson,411,6806.16
Shadows of Redemption ,1977,288,Thriller ,7.8,Gabriel Parker,58,1002.24
Serpent's Kiss ,1944,348,Supernatural Suspense ,7.7,Zoey Ramirez,260,5428.8
Forgotten Kingdoms ,1914,429,Epic Fantasy ,8.1,John Howard,508,13075.92
Whispers of the Unseen ,1999,318,Paranormal Mystery ,6.6,Elizabeth Foster,200,3816
Clockwork Dreams ,1999,360,Steampunk Fantasy ,8.1,Nathan Perry,264,5702.4
Siren's Lullaby ,1905,270,Fantasy Romance ,7.9,Ella Turner,308,4989.6
City of Neon ,1994,270,Cyberpunk Adventure ,7.8,Andrew Cox,269,4357.8
Chronicles of the Celestial Guardians ,1969,288,High Fantasy ,8.3,Addison White,472,8156.16
Eclipse of the Heart ,1937,396,Urban Fantasy Romance ,8.2,Caleb Hughes,500,11880
Beneath the Stars ,1974,294,Space Exploration ,8.4,Grace Watson,504,8890.56
Crimson Secrets ,1961,312,Gothic Mystery ,7.3,Logan Brooks,275,5148
Sands of Destiny ,1941,318,Adventure Romance ,8,Matthew Sanders,71,1354.68
Whispers of Desolation ,1956,414,Apocalyptic Horror ,7.7,Lillian Martin,18,447.12
Realm of Illusions ,2011,306,Magical Realism ,8.5,Samuel Mitchell,256,4700.16
Forgotten Stars ,2017,336,Sci-FiAdventure ,8.5,Madison Ward,220,4435.2
Echoes of the Forgotten ,1973,330,Historical Fiction ,8.4,Aubrey Ross,99,1960.2
City of Ashes ,1970,267,Dystopian Thriller ,8.5,Joshua Young,127,2034.54
Cursed Chronicles ,1928,465,Dark Fantasy ,8.5,Brooklyn King,118,3292.2
Ripples in Time ,1999,375,Time Travel Mystery ,8.4,Grace Powell,100,2250
Spectral Embrace ,1900,261,Paranormal Romance ,8.5,Grace Powell,109,1706.94
Whispers of the Void ,1932,264,Cosmic Horror ,8.4,Lily Cooper,89,1409.76
Mysteries of the Moors ,1983,495,Historical Mystery ,8.3,Daniel Griffin,87,2583.9
Shattered Realms ,1945,411,Epic Fantasy ,8.4,Samuel Rivera,322,7940.52
Emerald Dreams ,1942,495,Urban Fantasy ,8.5,Liam Parker,707,20997.9
Songs of Solitude ,1926,366,Contemporary Fiction ,8.3,Hannah Walker,514,11287.44
Waltz of the Stars ,1966,438,Sci-Fi Romance ,8.4,Lily Cooper,463,12167.64
Chasing Shadows ,1973,306,Mystery ,8.3,William Adams,379,6958.44
Blood and Moonlight ,1925,534,Supernatural Suspense ,8.3,Natalie Scott,463,14834.52
Skyward Odyssey ,1974,360,Space Opera ,8.4,Benjamin Price,264,5702.4
Whispers of the Damned ,1944,393,Horror ,8.3,Lucy Baker,474,11176.92
